"Public_Document_Keyword_ID"	"Public_Document_ID"	"Keyword_ID"	"Keyword_Weight"	"Keyword_Category_ID"
47	81	121	100	0
48	81	120	100	0
55	2563	248	100	0
59	345	106	60	0
63	83	249	100	0
64	83	250	100	0
66	131	252	100	0
68	2570	66	100	0
69	2570	63	100	0
73	2571	256	100	0
76	96	173	60	0
77	96	221	30	0
78	96	194	40	0
79	2571	257	100	0
80	72	258	100	0
81	72	259	100	0
82	72	260	60	0
83	69	213	100	0
84	69	261	70	0
85	69	262	70	0
86	69	263	100	0
87	69	264	100	0
88	342	199	90	0
89	342	265	90	0
90	342	266	60	0
91	342	267	80	0
92	342	268	100	0
93	342	269	90	0
95	342	271	60	0
96	19	272	60	0
97	19	273	50	0
98	342	274	70	0
99	342	275	60	0
100	342	276	30	0
101	342	277	90	0
102	342	278	80	0
103	343	133	100	0
104	343	279	100	0
105	343	280	100	0
106	343	281	100	0
107	343	282	100	0
108	343	283	80	0
109	343	284	80	0
110	343	285	70	0
111	343	286	90	0
112	343	287	90	0
113	343	288	70	0
114	343	289	100	0
115	343	290	90	0
116	343	291	80	0
117	343	292	100	0
118	343	293	90	0
119	343	294	40	0
121	344	296	90	0
122	344	297	90	0
123	344	298	100	0
124	344	299	100	0
125	344	300	80	0
126	344	301	90	0
127	344	302	95	0
128	344	303	60	0
129	344	304	70	0
130	344	203	80	0
131	344	305	90	0
132	16	221	100	0
133	16	306	100	0
136	344	309	90	0
138	344	311	70	0
139	344	312	90	0
140	16	313	80	0
141	341	283	100	0
142	341	314	80	0
143	341	315	100	0
144	341	316	100	0
145	341	317	90	0
146	341	318	100	0
147	341	319	70	0
148	341	320	95	0
149	16	321	100	0
150	340	322	100	0
151	340	323	100	0
152	340	203	80	0
153	340	305	95	0
154	340	324	90	0
155	340	325	20	0
156	340	326	50	0
157	340	327	80	0
158	340	309	95	0
159	339	328	100	0
160	339	329	100	0
161	339	330	70	0
162	339	331	50	0
163	339	332	90	0
164	339	333	100	0
165	339	334	50	0
166	339	335	100	0
167	339	269	70	0
168	339	336	95	0
169	339	337	100	0
170	371	338	100	0
171	371	339	70	0
172	371	340	90	0
173	52	97	70	0
175	52	95	70	0
176	52	127	100	0
177	335	341	70	0
178	335	342	100	0
179	335	343	100	0
180	335	214	60	0
181	335	344	100	0
182	335	303	10	0
183	335	345	100	0
184	335	346	99	0
185	335	347	99	0
187	336	349	100	0
188	336	350	100	0
189	336	207	50	0
190	336	351	50	0
191	336	111	50	0
192	336	352	20	0
193	336	353	80	0
194	336	112	40	0
195	336	55	20	0
196	336	354	60	0
197	337	355	100	0
198	337	356	40	0
199	337	357	100	0
200	337	358	100	0
201	337	359	50	0
202	337	214	60	0
203	337	360	99	0
204	337	361	60	0
205	337	362	95	0
206	337	363	60	0
207	337	364	50	0
208	337	365	80	0
209	337	366	50	0
210	60	115	70	0
211	60	155	80	0
213	60	156	100	0
214	1254	203	100	0
215	1254	204	100	0
216	1254	205	50	0
217	1254	367	50	0
218	1284	140	100	0
219	1284	139	100	0
220	1284	142	100	0
221	82	31	40	0
222	82	368	60	0
223	82	369	60	0
224	76	74	100	0
226	91	121	80	0
227	91	120	80	0
228	91	297	70	0
229	91	296	70	0
230	57	46	100	0
231	57	104	100	0
232	57	371	100	0
233	57	52	100	0
234	57	51	100	0
235	338	229	80	0
236	338	372	99	0
237	338	373	70	0
238	338	6	70	0
239	338	5	50	0
240	338	374	50	0
241	338	375	70	0
242	338	376	90	0
243	338	377	100	0
244	77	378	80	0
245	77	379	100	0
246	98	208	70	0
247	98	194	70	0
248	98	306	70	0
249	98	380	100	0
250	331	381	100	0
251	331	382	100	0
252	331	383	90	0
253	331	213	90	0
254	331	384	80	0
255	331	385	70	0
256	331	386	90	0
257	331	387	70	0
258	331	388	90	0
259	331	389	80	0
260	331	352	60	0
261	331	212	60	0
262	331	390	90	0
263	331	391	70	0
264	331	392	99	0
265	331	393	100	0
266	331	394	90	0
267	2576	395	70	0
268	2576	396	100	0
269	2576	214	70	0
270	2576	397	100	0
271	2576	398	100	0
272	2576	399	90	0
273	2576	400	100	0
274	332	401	90	0
275	332	214	90	0
276	332	402	100	0
277	332	403	100	0
278	332	347	100	0
279	333	404	100	0
280	333	405	100	0
281	333	406	99	0
282	333	407	90	0
283	333	408	100	0
284	333	409	100	0
285	333	410	100	0
286	1336	411	100	0
287	1336	412	100	0
288	1336	413	100	0
289	1336	414	100	0
290	1336	415	100	0
291	1336	416	100	0
292	1336	417	50	0
293	1336	418	80	0
294	1323	419	100	0
295	1323	420	100	0
296	1323	421	90	0
297	1297	79	100	0
298	1297	422	100	0
299	1297	423	100	0
300	1297	424	70	0
301	1298	116	100	0
302	1298	155	100	0
303	1298	425	80	0
304	1298	426	90	0
305	1287	427	100	0
306	1287	120	100	0
307	1287	428	100	0
308	1287	429	100	0
309	1287	430	100	0
310	1287	431	80	0
311	1287	432	100	0
312	1287	433	100	0
313	1288	434	100	0
314	1288	435	100	0
315	1288	436	60	0
316	1288	374	70	0
317	1288	78	100	0
318	1288	368	50	0
319	1288	437	70	0
320	1288	438	70	0
321	1288	439	99	0
322	1288	440	30	0
323	1289	441	100	0
324	1289	442	100	0
325	1289	443	100	0
326	1289	444	90	0
327	1285	445	100	0
328	1285	446	100	0
329	1285	447	100	0
330	1285	448	100	0
331	1285	449	100	0
332	1285	450	80	0
333	1285	451	100	0
334	1285	314	70	0
335	1285	452	90	0
337	1285	453	100	0
338	1285	454	100	0
339	1285	455	80	0
340	1286	456	100	0
341	1286	457	100	0
342	1286	106	100	0
343	1286	458	70	0
344	1286	459	100	0
345	1283	460	100	0
346	1283	461	100	0
347	1283	462	100	0
348	1283	463	90	0
349	1283	464	80	0
350	1283	465	100	0
351	1280	123	100	0
352	1280	466	90	0
353	1280	467	100	0
354	1280	468	100	0
355	1280	115	70	0
356	1280	469	100	0
357	1281	470	100	0
358	1281	471	100	0
359	1281	472	100	0
360	1281	473	75	0
361	1281	474	75	0
362	1281	475	75	0
363	1281	476	90	0
364	1282	205	99	0
365	1282	477	50	0
366	1282	478	90	0
367	1282	479	100	0
368	1282	305	90	0
369	1282	250	99	0
370	1282	86	90	0
371	1279	480	100	0
372	1279	481	70	0
373	1279	482	80	0
374	1279	483	70	0
375	1279	484	90	0
376	1279	485	99	0
377	2577	486	90	0
378	2577	487	100	0
379	2577	488	70	0
380	2577	489	99	0
382	2577	484	100	0
383	1277	491	100	0
384	1277	492	100	0
385	1277	406	100	0
386	1277	493	80	0
387	1277	494	100	0
388	1278	495	100	0
389	1278	496	100	0
390	1278	497	100	0
391	1278	498	100	0
392	1278	265	100	0
393	1278	499	100	0
394	1278	500	60	0
395	1278	200	100	0
396	65	243	60	0
398	65	502	100	0
399	59	10	100	0
